Kanji,Hiragana,English
分布,ぶんぷ,distribution
透明,とうめい,"transparency,cleanness"
書店,しょてん,bookshop
課程,かてい,"course,curriculum"
乾杯,かんぱい,toast (drink)
,パンツ,underpants
砕ける,くだける,"to break,to be broken"
古典,こてん,"old book,classics,classic"
部首,ぶしゅ,radical (of a kanji character)
飢饉,ききん,famine
創作,そうさく,"production,literary creation,work"
重力,じゅうりょく,gravity
,ナンバー,number
心当たり,こころあたり,"having some knowledge of,happening to know"
部品,ぶひん,"parts,accessories"
煎る,いる,"to parch,to fry"
名刺,めいし,business card
謎謎,なぞなぞ,"riddle,puzzle,enigma"
,セメント,cement
売行き,うれゆき,sales
当番,とうばん,being on duty
風呂敷,ふろしき,"wrapping cloth,cloth wrapper"
,さようなら,good-bye
催促,さいそく,"request,demand,claim,urge (action),press for"
東洋,とうよう,Orient
悠々,ゆうゆう,"quiet,calm,leisurely"
映す,うつす,"to project,to reflect,to cast (shadow)"
,どっと,suddenly
温帯,おんたい,temperate zone
引受る,ひきうける,"to undertake,to take up,to take over"
電波,でんぱ,electro-magnetic wave
初旬,しょじゅん,first 10 days of the month
険しい,けわしい,"inaccessible place,sharp eyes"
着々,ちゃくちゃく,steadily
真っ白,まっしろ,pure white
,リットル,litre
一昨日,いっさくじつ,day before yesterday
派手,はで,"showy,loud,gay,flashy,gaudy"
お手伝いさん,おてつだいさん,maid
懐かしい,なつかしい,"dear,desired,missed"
中途,ちゅうと,"in the middle,half-way"
主語,しゅご,(gram) subject
円い,まるい,"round,circular,spherical"
縮れる,ちぢれる,"to be wavy,to be curled"
折角,せっかく,"with trouble,at great pains,long-awaited"
出迎え,でむかえ,"meeting,reception"
,おさきに,"before,ahead,previously"
平凡,へいぼん,"common,commonplace,ordinary,mediocre"
挟まる,はさまる,"to get between,to be caught in"
馴れる,なれる,"to become domesticated,to become tame"
,シャッター,shutter
点数,てんすう,"marks,points,score,runs"
街角,まちかど,street corner
但し,ただし,"but,however,provided that"
,おじゃまします,Excuse me for disturbing you
揃える,そろえる,"to put things in order,to arrange,to make uniform,to get something ready"
述語,じゅつご,predicate
扇風機,せんぷうき,electric fan
墨,すみ,ink
至急,しきゅう,"urgent,pressing"
,ぶつぶつ,"grumbling,complaining in a small voice"
中間,ちゅうかん,"middle,midway,interim"
正味,しょうみ,net (weight)
東西,とうざい,"East and West,whole country"
日当たり,ひあたり,"exposure to the sun,sunny place"
冷やす,ひやす,"to cool,to refrigerate"
,おまたせしました,Sorry to have kept you waiting
実例,じつれい,"example,illustration"
角度,かくど,angle
自治,じち,"self-government,autonomy"
総理大臣,そうりだいじん,Prime Minister
,なぐる,"to strike,to hit"
団地,だんち,multi-unit apartments
盗難,とうなん,"theft,robbery"
引越し,ひっこし,"moving (dwelling etc.),changing residence"
問い合わせ,といあわせ,"enquiry,ENQ"
因る,よる,to come from
争う,あらそう,"to dispute,to argue,to be at variance,to compete"
湧く,わく,"to boil,to grow hot,to get excited,to gush forth"
物凄い,ものすごい,"earth-shattering,staggering,to a very great extent"
過半数,かはんすう,majority
預かる,あずかる,"to keep in custody,to receive on deposit,to take charge of"
冷凍,れいとう,"freezing,cold storage,refrigeration"
昼寝,ひるね,"nap (at home),siesta"
,ウール,wool
叔父さん,おじさん,"middle-aged gentleman,uncle"
醜い,みにくい,ugly
飛び込む,とびこむ,"to jump in,to leap in,to plunge into,to dive"
,アンテナ,antenna
,ねじ,(a) screw
酌む,くむ,to serve sake
,センチ,"centimeter,centi-,10^-2"
順序,じゅんじょ,"order,sequence,procedure"
休養,きゅうよう,"rest,break,recreation"
日用品,にちようひん,daily necessities
功績,こうせき,"achievements,merit,meritorious service,meritorious deed"
,フライパン,"fry pan,frying pan"
引返す,ひきかえす,"to repeat,to send back,to bring back"
隔てる,へだてる,to be shut out
水産,すいさん,"marine products,fisheries"
斬る,きる,"(v5r) to behead,to murder"
汁,しる,"juice,sap,soup,broth"
御覧,ごらん,"(hon) look,inspection,try"
吊す,つるす,to hang
,ガム,chewing gum
起床,きしょう,"rising,getting out of bed"
直角,ちょっかく,right angle
省略,しょうりゃく,"omission,abbreviation,abridgment"
校舎,こうしゃ,school building
生長,せいちょう,"growth,increment"
森林,しんりん,"forest,woods"
零点,れいてん,"zero,no marks"
集金,しゅうきん,money collection
峠,とうげ,"ridge,(mountain) pass,difficult part"
出合い,であい,an encounter
父母,ふぼ,"father and mother,parents"
一通り,ひととおり,"ordinary,usual,in general,briefly"
先端,せんたん,"pointed end,tip,fine point"
響く,ひびく,to resound
殖える,ふえる,"to increase,to multiply"
又は,または,"or,otherwise"
交じる,まじる,"to be mixed,to be blended with,to associate with"
属する,ぞくする,"to belong to,to come under,to be affiliated with,to be subject to"
,めちゃくちゃ,"absurd,unreasonable,excessive,messed up,spoiled,wreaked"
直流,ちょくりゅう,direct current
規準,きじゅん,"standard,basis,criteria,norm"
標準,ひょうじゅん,"standard,level"
,ゆでる,to boil
繋がり,つながり,"connection,link,relationship"
定休日,ていきゅうび,regular holiday
目指す,めざす,"to aim at,to have an eye on"
,ビタミン,vitamin
水曜,すいよう,Wednesday
敷地,しきち,site
永い,ながい,"long,lengthy"
,あぶる,to scorch
惜しい,おしい,"regrettable,disappointing,precious"
売り切れ,うりきれ,sold-out
下品,げひん,"vulgarity,meanness,indecency,coarseness"
甘やかす,あまやかす,"to pamper,to spoil"
警備,けいび,"defense,guard,policing,security"
片寄る,かたよる,"to be one-sided,to incline,to be partial"
片道,かたみち,one-way (trip)
,エチケット,etiquette
防犯,ぼうはん,prevention of crime
盆,ぼん,"Lantern Festival,Festival of the Dead,tray"
素直,すなお,"obedient,meek,docile,unaffected"
蒸す,むす,"to steam,to poultice,to be sultry"
方角,ほうがく,"direction,way,compass point"
溶け込む,とけこむ,to melt into
利害,りがい,"advantages and disadvantages,interest"
従姉妹,いとこ,cousin (female)
裁縫,さいほう,sewing
凸凹,でこぼこ,"unevenness,roughness,ruggedness"
桁,けた,"column,beam,digit"
撫でる,なでる,"to brush gently,to stroke"
基盤,きばん,"foundation,basis"
用途,ようと,"use,usefulness"
抽象,ちゅうしょう,abstract
,おとなしい,"obedient,docile,quiet"
面倒臭い,めんどうくさい,"bother to do,tiresome"
,かじる,"to chew,to bite (at),to gnaw,to nibble"
,こないだ,"the other day,lately,recently"
溶ける,とける,"to melt,to thaw,to fuse,to dissolve"
拡充,かくじゅう,expansion
下駄,げた,"geta (Japanese footwear),wooden clogs"
換気,かんき,ventilation
,くたびれる,"to get tired,to wear out"
長短,ちょうたん,"length,long and short,+-"
暖まる,あたたまる,"to warm up,to get warm"
睨む,にらむ,"to glare at,to scowl at,to keep an eye on"
容器,ようき,"container,vessel"
気配,けはい,"indication,market trend,worry"
学術,がくじゅつ,"science,learning,scholarship"
,ダム,dumb
傑作,けっさく,"masterpiece,best work,boner,blunder"
期限,きげん,"term,period"
火山,かざん,volcano
整う,ととのう,"to be prepared,to be in order,to be put in order,to be arranged"
開会,かいかい,opening of a meeting
配る,くばる,"to distribute,to deliver"
国王,こくおう,king
吊る,つる,to hang
交通機関,こうつうきかん,transportation facilities
乱暴,らんぼう,"rude,violent,rough,lawless,unreasonable,reckless"
お代わり,おかわり,"second helping,another cup"
澄む,すむ,"to clear (e.g. weather),to become transparent"
親指,おやゆび,thumb
勘違い,かんちがい,"misunderstanding,wrong guess"
小数,しょうすう,"fraction (part of),decimal"
,かしこまりました,certainly!
宴会,えんかい,"party,banquet"
倣う,ならう,"to imitate,to follow,to emulate"
学年,がくねん,"year in school,grade in school"
出掛ける,でかける,"to depart,to set out,to start,to be going out"
,ゼミ,(n) seminar
御辞儀,おじぎ,bow
,くっつける,to attach
人文科学,じんぶんかがく,"social sciences,humanities"
食塩,しょくえん,table salt
解説,かいせつ,"explanation,commentary"
南北,なんぼく,south and north
激増,げきぞう,sudden increase
一定,いってい,"fixed,settled,definite"
針路,しんろ,"course,direction,compass bearing"
一流,いちりゅう,"first class,top grade,foremost,top-notch"
区域,くいき,"limits,boundary,domain,zone,sphere,territory"
飽くまで,あくまで,"to the end,to the last,stubbornly"
動作,どうさ,"action,movements,motions,bearing,behaviour,manners"
潰れる,つぶれる,"to be smashed,to go bankrupt"
四角い,しかくい,square
映る,うつる,"to be reflected,to harmonize with,to come out (photo)"
来日,らいにち,"arrival in Japan,coming to Japan,visit to Japan"
知人,ちじん,"friend,acquaintance"
餅,もち,sticky rice cake
目立つ,めだつ,"to be conspicuous,to stand out"
,またぐ,to straddle
,どうせ,"anyhow,in any case,at any rate"
恨み,うらみ,resentment
彫る,ほる,"to carve,to engrave,to sculpture,to chisel"
,クーラー,"cooler,air conditioner"
官庁,かんちょう,"government office,authorities"
掻く,かく,"to scratch,to perspire"
,モデル,model
塵芥,ごみ,"trash,rubbish"
民間,みんかん,"private,civilian,civil,popular,folk,unofficial"
延長,えんちょう,"extension,elongation,prolongation,lengthening"
祭日,さいじつ,"national holiday,festival day"
,せめて,"offense,method of attack"
延ばす,のばす,"to lengthen,to stretch,to reach out,to grow (beard)"
売上,うりあげ,"amount sold,proceeds"
殖やす,ふやす,"to increase,to add to,to augment"
卒直,そっちょく,"frankness,candour,openheartedness"
掏摸,すり,pickpocket
採る,とる,"(1) to adopt (measure, proposal),(2) to pick (fruit)"
含める,ふくめる,"to include,to instruct,to make one understand"
括弧,かっこ,"parenthesis,brackets"
耕地,こうち,arable land
追い越す,おいこす,"to pass (e.g. car),to outdistance,to outstrip"
発射,はっしゃ,"firing,shooting,discharge,catapult"
焦がす,こがす,"to burn,to scorch,to singe,to char"
心身,しんしん,mind and body
加速度,かそくど,acceleration
,クリーニング,"cleaning,dry cleaning,laundry service"
放る,ほうる,to let go
務める,つとめる,"(1) to serve,to fill a post,to serve under,to work (for)"
,ブラシ,"brushy,brush"
推定,すいてい,"presumption,assumption,estimation"
狙う,ねらう,to aim at
育児,いくじ,"childcare,nursing,upbringing"
索引,さくいん,"index,indices"
溶かす,とかす,"to melt,to dissolve"
,コレクション,"(1) collection,(2) correction"
編集,へんしゅう,"editing,compilation,editorial (e.g. committee)"
,コンクリート,concrete
岬,みさき,cape (on coast)
呼び出す,よびだす,"to summon,to call (e.g. phone)"
,モノレール,monorail
,ひとまず,"for the present,once,in outline"
外れる,はずれる,"to be disconnected,to get out of place,to be off,to be out (e.g. of gear)"
,まあまあ,so-so
,バケツ,"bucket,pail"
液体,えきたい,"liquid,fluid"
資料,しりょう,"materials,data"
煮る,にる,"to boil,to cook"
,メニュー,menu
複写,ふくしゃ,"copy,duplicate"
儲かる,もうかる,"to be profitable,to yield a profit"
座敷,ざしき,tatami room
騒がしい,さわがしい,noisy
煮える,にえる,"to boil,to cook,to be cooked"
矢印,やじるし,directing arrow
句読点,くとうてん,punctuation marks
火口,かこう,"a burner,origin of a fire"
,ファスナー,"fastener,zipper"
擦る,こする,"to rub,to chafe,to file,to frost (glass),to strike (match)"
,どきどき,"throb,beat (fast)"
香水,こうすい,perfume
,くっつく,"to adhere to,to keep close to"
地名,ちめい,place name
纏まる,まとまる,"to be collected,to be settled,to be in order"
匂う,におう,"to be fragrant,to smell,to stink"
取り入れる,とりいれる,"to harvest,to take in,to adopt"
長男,ちょうなん,eldest son
,ネックレス,necklace
嫌がる,いやがる,"to hate,to dislike"
段階,だんかい,"gradation,grade,stage"
紫,むらさき,"purple colour,violet"
地点,ちてん,"site,point on a map"
水分,すいぶん,moisture
以降,いこう,"on and after,hereafter,thereafter"
短所,たんしょ,"(1) defect,demerit,weak point,(2) disadvantage"
牧畜,ぼくちく,stock-farming
,もったいない,"too good,more than one deserves,wasteful,sacrilegious,unworthy of"
漢和,かんわ,Chinese Character-Japanese (e.g. dictionary)
家屋,かおく,"house,building"
平仮名,ひらがな,"hiragana,47 syllables,the cursive syllabary"
治める,おさめる,"(1) to govern,to manage,(2) to subdue"
和英,わえい,Japanese-English
怠る,おこたる,"to neglect,to be off guard,to be feeling better"
唇,くちびる,lips
緩い,ゆるい,"loose,lenient,slow"
時速,じそく,speed (per hour)
文脈,ぶんみゃく,context
繋げる,つなげる,to connect
,だます,"to trick,to cheat,to deceive"
,めまい,"dizziness,giddiness"
交替,こうたい,"alternation,change,relief,relay,shift"
留まる,とまる,"(1) to be fixed,(2) to abide,to stay (in the one place)"
,スタート,start
,めっきり,remarkably
血圧,けつあつ,blood pressure
手頃,てごろ,"moderate,handy"
満員,まんいん,"full house,no vacancy,sold out"
余計,よけい,"too much,unnecessary,abundance,surplus,excess,superfluity"
熱する,ねっする,to heat
乾かす,かわかす,"to dry (clothes, etc.),to desiccate"
私鉄,してつ,private railway
客席,きゃくせき,guest seating
下車,げしゃ,"alighting,getting off"
残らず,のこらず,"all,entirely,completely,without exception"
捕える,とらえる,"to seize,to grasp,to capture,to arrest"
目下,めした,"at present,now"
発電,はつでん,generation (e.g. power)
系統,けいとう,"system,family line,geological formation"
名所,めいしょ,famous place
蒸発,じょうはつ,"evaporation,unexplained disappearance"
恐縮,きょうしゅく,"shame,very kind of you,sorry to trouble"
申し訳ない,もうしわけない,inexcusable
入社,にゅうしゃ,entry to a company
,くどい,"verbose,importunate,heavy (taste)"
遊園地,ゆうえんち,amusement park
逃がす,にがす,"to let loose,to set free,to let escape"
上旬,じょうじゅん,first 10 days of month
,ナイロン,nylon
改札,かいさつ,examination of tickets
周辺,しゅうへん,"circumference,outskirts,environs,(computer) peripheral"
こうして,こうして,thus
突き当たり,つきあたり,end (e.g. of street)
閉会,へいかい,closure
蓄える,たくわえる,"to store,to lay in stock"
小父さん,おじさん,"middle-aged gentleman,uncle"
,ふわふわ,"light,soft"
,スマート,"smart,stylish,slim"
湯飲み,ゆのみ,teacup
近寄る,ちかよる,"to approach,to draw near"
四角,しかく,square
熟語,じゅくご,"idiom,idiomatic phrase,kanji compound"
内科,ないか,"internist clinic,internal medicine"
,ワンピース,one-piece dress
無地,むじ,"plain,unfigured"
焦げる,こげる,"to burn,to be burned"
落着く,おちつく,"to calm down,to settle down"
地味,じみ,"plain,simple"
蕎麦,そば,soba (buckwheat noodles)
改正,かいせい,"revision,amendment,alteration"
器械,きかい,instrument
分量,ぶんりょう,"amount,quantity"
女の人,おんなのひと,woman
生ずる,しょうずる,"to cause,to arise,to be generated"
校庭,こうてい,campus
釣り合う,つりあう,"to balance,to be in harmony,to suit"
各地,かくち,"every place,various places"
,ぼろ,"rag,scrap,tattered clothes,fault (esp. in a pretense)"
静まる,しずまる,"to quieten down,to calm down,to subside"
限度,げんど,"limit,bounds"
楽器,がっき,musical instrument
引出す,ひきだす,"to pull out,to take out,to draw out,to withdraw"
暖める,あたためる,"to warm,to heat"
,コーラス,chorus
高める,たかめる,"to raise,to lift,to boost"
見直す,みなおす,"to look again,to get a better opinion of"
,ダイヤグラム,diagram
混合,こんごう,"mixing,mixture"
夜間,やかん,"at night,nighttime"
,ええと,"let me see,well,er...."
貨物,かもつ,"cargo,freight"
実績,じっせき,"achievements,actual results"
伯母さん,おばさん,(hon) aunt
通帳,つうちょう,passbook
足る,たる,"to be sufficient,to be enough"
泊める,とめる,"to give shelter to,to lodge"
有料,ゆうりょう,"admission-paid,toll"
公共,こうきょう,"public,community,public service,society,communal"
生る,なる,to bear fruit
高等,こうとう,"high class,high grade"
,くだらない,"good-for-nothing,stupid,trivial,worthless"
,おととい,day before yesterday
赤道,せきどう,equator
剥く,むく,"to peel,to skin,to pare,to hull"
,おまちください,Please wait a moment
習字,しゅうじ,penmanship
乾電池,かんでんち,"dry cell,battery"
臨時,りんじ,"temporary,special,extraordinary"
割引,わりびき,"discount,reduction,rebate"
呑気,のんき,"carefree,optimistic,careless,reckless,heedless"
所々,ところどころ,"here and there,some parts (of something)"
留守番,るすばん,"care-taking,caretaker,house-watching"
扇子,せんす,folding fan
方針,ほうしん,"objective,plan,policy"
斜め,ななめ,obliqueness
小指,こゆび,little finger
童話,どうわ,fairy tale
消化,しょうか,digestion
瓶詰,びんづめ,"bottling,bottled"
